Município,IVAF,IPA,IPOPR,IPROPR,IFAREA,IFAMB,IFIGUAL
813 - Mambore,"0,002089666474","0,004982556432","0,003249046568","0,003236472911","0,003944724526",0,"0,002506265664"
710 - Mandaguacu,"0,001240595761","0,002507993094","0,001433575701","0,001584924979","0,001470672553",0,"0,002506265664"
702 - Mandaguari,"0,002881965943","0,00239922536","0,001125448319","0,002605308096","0,001678302799","0,008116506978","0,002506265664"
106 - Mandirituba,"0,001205425087","0,002310549186","0,009665538172","0,005570029489","0,001895539072","0,002084245059","0,002506265664"
350 - Manfrinopolis,"0,0002062193695","0,001332022323","0,001615710318","0,001697132057","0,001075174457",0,"0,002506265664"
310 - Mangueirinha,"0,004231562003","0,003808270735","0,005649437211","0,003509977664","0,005297523136","0,001021646153","0,002506265664"
651 - Manoel Ribas,"0,001278226176","0,002807057221","0,004154497158","0,003459133831","0,0028601942","0,001230111842","0,002506265664"
417 - Marechal Candido Rondon,"0,006370387629","0,01156010001","0,005008375581","0,0085996206","0,003739395723",0,"0,002506265664"
824 - Maria Helena,"0,0003173050801","0,001182949835","0,001280817634","0,001804079429","0,002440030631",0,"0,002506265664"
703 - Marialva,"0,003001575113","0,003920973804","0,004025893145","0,00432347898","0,002376891024","0,002931131999","0,002506265664"
639 - Marilandia do Sul,"0,0008951403283","0,00444403084","0,001664018425","0,00226518039","0,001915751751",0,"0,002506265664"
744 - Marilena,"0,0003546467791","0,001283539817","0,001223370156","0,001718170884","0,001160628062","0,002149760856","0,002506265664"
818 - Mariluz,"0,0006707733903","0,001924231141","0,001146991123","0,001072980185","0,002150098757",0,"0,002506265664"
701 - Maringa,"0,0304241456","0,002256303008","0,004193665893","0,003578353852","0,002434627242","0,002583035948","0,002506265664"
317 - Mariopolis,"0,0005375164258","0,001900688156","0,001174409238","0,001683106172","0,001158626807","0,009985136409","0,002506265664"
456 - Maripa,"0,001936782608","0,005129527034","0,001581111269","0,00301381199","0,001418790007",0,"0,002506265664"
320 - Marmeleiro,"0,00115961043","0,003430981688","0,00331367498","0,003452120889","0,001941417851","0,006319991644","0,002506265664"
473 - Marquinho,"0,0001758598985","0,001176711784","0,002909584198","0,001523561733","0,002517729372",0,"0,002506265664"
646 - Marumbi,"0,0002062633691","0,0007931646638","0,0009544115093","0,0007907092539","0,001043954873","0,000144605914","0,002506265664"
419 - Matelandia,"0,002947173304","0,004359893305","0,002914806696","0,002547451321","0,00319730567","0,01207620178","0,002506265664"
134 - Matinhos,"0,0005718795578","0,00008925246231","0,00009726902523","0,0002805176954","0,0005831157885","0,00268769401","0,002506265664"
457 - Mato Rico,"0,0001801814173","0,0008488420768","0,001867695847","0,0008590854422","0,001983043963","0,01272915376","0,002506265664"
657 - Maua da Serra,"0,000766634191","0,0008770173055","0,001006636489","0,0003401277057","0,0005368367577","0,003814770383","0,002506265664"
420 - Medianeira,"0,00450800878","0,004379848016","0,00288999983","0,003224200262","0,001643180767","0,0004468667003","0,002506265664"
